order,replicate,arm_id,run_id,attempt_number,attempt_resolved,public_passed,public_total,hidden_passed,hidden_total,hidden_delta,failed_probe_ids,changed_file_count,changed_files,trace_complete,leakage_status,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,total_tokens,file_read_events,unique_files_read,search_events,repeated_search_events,test_runs,edit_events,interface_guess_events,ineffective_edit_attempts,rollback_events,pre_edit_discovery_events
1,1,H_no_handoff,20260717T022617Z-1196afcf,1,1,29,29,10,10,10,,5,src/reservation_fixture/api/__init__.py|src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/__init__.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,1,passed,0,0,0,0,0,28,26,3,0,2,2,0,0,0,28
2,1,A_full,20260717T023219Z-a2ce3147,1,1,29,29,10,10,10,,3,src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,1,passed,0,0,0,0,0,16,16,1,0,2,1,0,0,0,16
3,1,D_no_verification,20260717T023914Z-bbe4444e,1,1,29,29,10,10,10,,5,src/reservation_fixture/__init__.py|src/reservation_fixture/api/__init__.py|src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,1,passed,0,0,0,0,0,20,21,1,0,3,2,0,0,0,21
4,1,E_no_unfinished_items,20260717T024812Z-f933530c,1,1,29,29,10,10,10,,3,src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,1,passed,0,0,0,0,0,21,21,2,0,2,3,0,0,0,22
5,2,E_no_unfinished_items,20260717T031748Z-2fda682a,1,1,29,29,10,10,10,,5,src/reservation_fixture/__init__.py|src/reservation_fixture/api/__init__.py|src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,1,passed,0,0,0,0,0,19,19,4,0,2,1,0,0,0,21
6,2,A_full,20260717T032247Z-8c93255d,1,1,29,29,10,10,10,,5,src/reservation_fixture/__init__.py|src/reservation_fixture/api/__init__.py|src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,1,passed,0,0,0,0,0,22,21,3,0,3,5,0,0,0,20
7,2,H_no_handoff,20260717T032929Z-aa3ca5bb,1,1,28,28,10,10,10,,4,src/reservation_fixture/api/__init__.py|src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_reservation_api.py,1,passed,0,0,0,0,0,27,27,2,0,2,2,0,0,0,29
8,2,D_no_verification,20260717T033627Z-90fe8205,1,1,29,29,10,10,10,,3,src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,1,passed,0,0,0,0,0,20,20,2,0,2,3,0,0,0,19
9,3,A_full,20260717T063558Z-1d8cd312,1,1,29,29,10,10,10,,5,src/reservation_fixture/api/__init__.py|src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/__init__.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,1,passed,0,0,0,0,0,13,15,2,0,3,1,0,0,0,14
10,3,D_no_verification,20260717T064016Z-46f096c4,1,1,29,29,10,10,10,,6,src/reservation_fixture/__init__.py|src/reservation_fixture/api/__init__.py|src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/__init__.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,1,passed,0,0,0,0,0,21,21,3,0,2,2,0,0,0,23
11,3,H_no_handoff,20260717T064519Z-34d32980,1,1,27,27,10,10,10,,7,src/reservation_fixture/__init__.py|src/reservation_fixture/api/__init__.py|src/reservation_fixture/api/cancellation.py|src/reservation_fixture/cancellation/__init__.py|src/reservation_fixture/events/__init__.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,1,passed,0,0,0,0,0,31,26,4,1,2,2,0,0,0,26
12,3,E_no_unfinished_items,20260717T065624Z-86cecd15,1,1,30,30,10,10,10,,4,src/reservation_fixture/api/__init__.py|src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,1,passed,0,0,0,0,0,17,17,2,0,2,1,0,0,0,19
