order,replicate,arm_id,run_id,status,final_success,first_attempt_success,interaction_rounds,rework_count,public_passed,public_total,hidden_passed,hidden_total,input_tokens,cached_input_tokens,output_tokens,reasoning_tokens,total_tokens,human_interventions,changed_file_count,changed_files,failed_probe_ids,leakage_status,leakage_match_count,trace_complete,input_integrity_verified,excluded,exclusion_reason,eligible,file_read_events,unique_files_read,search_events,repeated_search_events,test_runs,edit_events,interface_guess_events,ineffective_edit_attempts,rollback_events,pre_edit_discovery_events
1,1,H_no_handoff,20260717T022617Z-1196afcf,resolved,1,1,1,0,29,29,10,10,279633,238080,5673,722,285306,0,5,src/reservation_fixture/api/__init__.py|src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/__init__.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,,passed,0,1,1,0,,1,28,26,3,0,2,2,0,0,0,28
2,1,A_full,20260717T023219Z-a2ce3147,resolved,1,1,1,0,29,29,10,10,212970,182016,3992,305,216962,0,3,src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,,passed,0,1,1,0,,1,16,16,1,0,2,1,0,0,0,16
3,1,D_no_verification,20260717T023914Z-bbe4444e,resolved,1,1,1,0,29,29,10,10,278078,246272,5418,1038,283496,0,5,src/reservation_fixture/__init__.py|src/reservation_fixture/api/__init__.py|src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,,passed,0,1,1,0,,1,20,21,1,0,3,2,0,0,0,21
4,1,E_no_unfinished_items,20260717T024812Z-f933530c,resolved,1,1,1,0,29,29,10,10,293572,252928,4964,826,298536,0,3,src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,,passed,0,1,1,0,,1,21,21,2,0,2,3,0,0,0,22
5,2,E_no_unfinished_items,20260717T031748Z-2fda682a,resolved,1,1,1,0,29,29,10,10,203864,184192,5265,712,209129,0,5,src/reservation_fixture/__init__.py|src/reservation_fixture/api/__init__.py|src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,,passed,0,1,1,0,,1,19,19,4,0,2,1,0,0,0,21
6,2,A_full,20260717T032247Z-8c93255d,resolved,1,1,1,0,29,29,10,10,512918,483072,6324,908,519242,0,5,src/reservation_fixture/__init__.py|src/reservation_fixture/api/__init__.py|src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,,passed,0,1,1,0,,1,22,21,3,0,3,5,0,0,0,20
7,2,H_no_handoff,20260717T032929Z-aa3ca5bb,resolved,1,1,1,0,28,28,10,10,301379,262016,5605,1190,306984,0,4,src/reservation_fixture/api/__init__.py|src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_reservation_api.py,,passed,0,1,1,0,,1,27,27,2,0,2,2,0,0,0,29
8,2,D_no_verification,20260717T033627Z-90fe8205,resolved,1,1,1,0,29,29,10,10,246617,226944,5042,965,251659,0,3,src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,,passed,0,1,1,0,,1,20,20,2,0,2,3,0,0,0,19
9,3,A_full,20260717T063558Z-1d8cd312,resolved,1,1,1,0,29,29,10,10,177681,151040,4048,297,181729,0,5,src/reservation_fixture/api/__init__.py|src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/__init__.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,,passed,0,1,1,0,,1,13,15,2,0,3,1,0,0,0,14
10,3,D_no_verification,20260717T064016Z-46f096c4,resolved,1,1,1,0,29,29,10,10,252554,231552,5546,754,258100,0,6,src/reservation_fixture/__init__.py|src/reservation_fixture/api/__init__.py|src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/__init__.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,,passed,0,1,1,0,,1,21,21,3,0,2,2,0,0,0,23
11,3,H_no_handoff,20260717T064519Z-34d32980,resolved,1,1,1,0,27,27,10,10,502448,466432,6693,1050,509141,0,7,src/reservation_fixture/__init__.py|src/reservation_fixture/api/__init__.py|src/reservation_fixture/api/cancellation.py|src/reservation_fixture/cancellation/__init__.py|src/reservation_fixture/events/__init__.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,,passed,0,1,1,0,,1,31,26,4,1,2,2,0,0,0,26
12,3,E_no_unfinished_items,20260717T065624Z-86cecd15,resolved,1,1,1,0,30,30,10,10,170085,135168,4368,351,174453,0,4,src/reservation_fixture/api/__init__.py|src/reservation_fixture/api/cancellation.py|src/reservation_fixture/events/cancellation_audit.py|tests/test_cancellation_api.py,,passed,0,1,1,0,,1,17,17,2,0,2,1,0,0,0,19
